資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20220408,00647L,8,4,181000,2.15
20220408,00647L,9,5,354000,4.20
20220408,00647L,10,6,762000,9.05
20220408,00647L,11,4,1221000,14.50
20220408,00647L,12,1,537000,6.38
20220408,00647L,13,1,763000,9.06
20220408,00647L,14,0,0,0.00
20220408,00647L,15,1,2146808,25.50
20220408,00647L,16,0,0,0.00
20220408,00647L,17,514,8416000,100.00
20220408,00648R,1,31,6570,0.00
20220408,00648R,2,1158,3135603,1.64
20220408,00648R,3,515,4326744,2.26
20220408,00648R,4,236,3125000,1.63
20220408,00648R,5,240,4529000,2.37
20220408,00648R,6,236,6268543,3.28
20220408,00648R,7,137,5045000,2.64
20220408,00648R,8,126,5966000,3.12
20220408,00648R,9,256,19482780,10.21
20220408,00648R,10,135,19467000,10.20
20220408,00648R,11,60,17752000,9.30
20220408,00648R,12,22,11166000,5.85
20220408,00648R,13,7,4950000,2.59
20220408,00648R,14,4,3898000,2.04
20220408,00648R,15,12,81569760,42.77
20220408,00648R,16,0,0,0.00
20220408,00648R,17,3175,190688000,100.00
20220408,00650L,1,65,14928,0.02
20220408,00650L,2,883,2247995,3.10
20220408,00650L,3,322,2638660,3.64
20220408,00650L,4,136,1750331,2.41
20220408,00650L,5,123,2269998,3.13
20220408,00650L,6,117,2995596,4.14
20220408,00650L,7,69,2496000,3.45
20220408,00650L,8,72,3355000,4.63
20220408,00650L,9,82,6024200,8.32
20220408,00650L,10,51,7577000,10.47
20220408,00650L,11,26,7262000,10.03
20220408,00650L,12,5,2357000,3.25
20220408,00650L,13,1,700000,0.96
20220408,00650L,14,0,0,0.00
20220408,00650L,15,11,30649292,42.36
20220408,00650L,16,0,0,0.00
20220408,00650L,17,1963,72338000,100.00
20220408,00651R,1,11,750,0.00
20220408,00651R,2,222,566049,2.67
20220408,00651R,3,135,1167000,5.50
20220408,00651R,4,39,517000,2.43
20220408,00651R,5,49,949005,4.47
20220408,00651R,6,39,1025000,4.83
20220408,00651R,7,20,701000,3.30
20220408,00651R,8,23,1099000,5.18
20220408,00651R,9,33,2254000,10.63
20220408,00651R,10,21,2801000,13.21
20220408,00651R,11,3,834000,3.93
20220408,00651R,12,4,2049000,9.66
20220408,00651R,13,4,2732000,12.89
20220408,00651R,14,2,1678000,7.91
20220408,00651R,15,2,2819196,13.30
20220408,00651R,16,0,0,0.00
20220408,00651R,17,607,21192000,100.00
20220408,00652,1,2271,793243,3.86
20220408,00652,2,2250,4754890,23.15
20220408,00652,3,388,2903694,14.14
20220408,00652,4,114,1395902,6.79
20220408,00652,5,58,1048727,5.10
20220408,00652,6,48,1178319,5.73
20220408,00652,7,17,594314,2.89
20220408,00652,8,8,378379,1.84
20220408,00652,9,17,1295402,6.30
20220408,00652,10,6,791237,3.85
20220408,00652,11,4,1162500,5.66
20220408,00652,12,4,1992000,9.70
20220408,00652,13,0,0,0.00
20220408,00652,14,1,835393,4.06
20220408,00652,15,1,1411000,6.87
20220408,00652,16,0,0,0.00
20220408,00652,17,5187,20535000,100.00
20220408,00653L,1,65,9170,0.04
20220408,00653L,2,505,1140880,6.19
20220408,00653L,3,126,1006350,5.46
20220408,00653L,4,36,451001,2.45
20220408,00653L,5,37,691000,3.75
20220408,00653L,6,29,759000,4.12
20220408,00653L,7,14,513000,2.78
20220408,00653L,8,10,455000,2.47
20220408,00653L,9,27,1983000,10.77
20220408,00653L,10,8,1193000,6.48
20220408,00653L,11,3,865000,4.70
20220408,00653L,12,3,1478000,8.03
20220408,00653L,13,2,1410223,7.66
20220408,00653L,14,0,0,0.00
20220408,00653L,15,3,6448376,35.03
20220408,00653L,16,0,0,0.00
20220408,00653L,17,868,18403000,100.00
20220408,00654R,1,10,1270,0.00
20220408,00654R,2,299,796677,3.79
20220408,00654R,3,150,1253000,5.97
20220408,00654R,4,57,757000,3.61
20220408,00654R,5,53,1000000,4.76
20220408,00654R,6,59,1528000,7.28
20220408,00654R,7,30,1106000,5.27
20220408,00654R,8,24,1109000,5.28
20220408,00654R,9,52,3897000,18.58
20220408,00654R,10,15,2001000,9.54
20220408,00654R,11,14,4094262,19.52
20220408,00654R,12,2,859000,4.09
20220408,00654R,13,1,679000,3.23
20220408,00654R,14,0,0,0.00
20220408,00654R,15,1,1884791,8.98
20220408,00654R,16,0,0,0.00
20220408,00654R,17,767,20966000,100.00
20220408,00655L,1,86,16839,0.01
20220408,00655L,2,1795,4577556,3.16
20220408,00655L,3,675,5507726,3.81
20220408,00655L,4,336,4383600,3.03
20220408,00655L,5,251,4660222,3.22
20220408,00655L,6,273,6937004,4.80
20220408,00655L,7,151,5388900,3.73
20220408,00655L,8,114,5348001,3.70
20220408,00655L,9,217,15557025,10.76
20220408,00655L,10,89,12718850,8.80
20220408,00655L,11,42,11704000,8.10
20220408,00655L,12,15,7417000,5.13
